kolo,typ_jednotky,vlastnik,zive_jednotky,celkove_zivoty,zpusobene_poskozeni_kolo,realne_zpusobene_poskozeni_kolo,utrzene_poskozeni_kolo,pocet_utoku_kolo,pocet_protiutoku_kolo,vitez
0,lucisnik,Hráč 2,1,10,0,0,0,0,0,
0,valecnik,Hráč 1,1,15,0,0,0,0,0,
1,lucisnik,Hráč 2,1,10,0,0,0,0,0,
1,valecnik,Hráč 1,1,15,0,0,0,0,0,
2,lucisnik,Hráč 2,1,10,0,0,0,0,0,
2,valecnik,Hráč 1,1,15,0,0,0,0,0,
3,lucisnik,Hráč 2,1,10,0,0,0,0,0,
3,valecnik,Hráč 1,1,15,0,0,0,0,0,
4,lucisnik,Hráč 2,1,10,0,0,0,0,0,
4,valecnik,Hráč 1,1,15,0,0,0,0,0,
5,lucisnik,Hráč 2,1,10,0,0,0,0,0,
5,valecnik,Hráč 1,1,15,0,0,0,0,0,
6,lucisnik,Hráč 2,1,10,0,0,0,0,0,
6,valecnik,Hráč 1,1,15,0,0,0,0,0,
7,lucisnik,Hráč 2,1,10,0,0,0,0,0,
7,valecnik,Hráč 1,1,15,0,0,0,0,0,
8,lucisnik,Hráč 2,1,10,8,4,0,1,0,
8,valecnik,Hráč 1,1,11,0,0,4,0,0,
9,lucisnik,Hráč 2,1,5,16,8,5,1,1,
9,valecnik,Hráč 1,1,3,8,5,8,1,0,
10,lucisnik,Hráč 2,0,0,0,0,5,0,0,Hráč 1
10,valecnik,Hráč 1,1,3,8,5,0,1,0,Hráč 1
0,lucisnik,Hráč 2,1,10,0,0,0,0,0,
0,valecnik,Hráč 1,1,15,0,0,0,0,0,
1,lucisnik,Hráč 2,1,10,0,0,0,0,0,
1,valecnik,Hráč 1,1,15,0,0,0,0,0,
2,lucisnik,Hráč 2,1,10,0,0,0,0,0,
2,valecnik,Hráč 1,1,15,0,0,0,0,0,
3,lucisnik,Hráč 2,1,10,0,0,0,0,0,
3,valecnik,Hráč 1,1,15,0,0,0,0,0,
4,lucisnik,Hráč 2,1,10,0,0,0,0,0,
4,valecnik,Hráč 1,1,15,0,0,0,0,0,
5,lucisnik,Hráč 2,1,10,0,0,0,0,0,
5,valecnik,Hráč 1,1,15,0,0,0,0,0,
6,lucisnik,Hráč 2,1,10,0,0,0,0,0,
6,valecnik,Hráč 1,1,15,0,0,0,0,0,
7,lucisnik,Hráč 2,1,10,0,0,0,0,0,
7,valecnik,Hráč 1,1,15,0,0,0,0,0,
