Název simulace;ID sady atributů;Název scénáře;Typ entity;Útok Min;Útok Max;Obrana;Rychlost;Dosah;Kritická šance (násobitel);Úhyb (%);Maximální životy;Cena (surovina:množství);Cena za kolo (surovina:množství)
Lučištník_vs_Bojovník;zaklad;rovina;lucisnik;6;8;3;5;5;1.2;0.05;10;{'jidlo': 15, 'drevo': 15, 'kamen': 0};{'jidlo': 2, 'drevo': 1}
Lučištník_vs_Bojovník;zaklad;rovina;bojovnik;5;8;3;5;1;1.2;0.05;12;{'jidlo': 10, 'drevo': 2, 'kamen': 0};{'jidlo': 2}
Lučištník_vs_Bojovník;zaklad;hora;lucisnik;6;8;3;5;5;1.2;0.05;10;{'jidlo': 15, 'drevo': 15, 'kamen': 0};{'jidlo': 2, 'drevo': 1}
Lučištník_vs_Bojovník;zaklad;hora;bojovnik;5;8;3;5;1;1.2;0.05;12;{'jidlo': 10, 'drevo': 2, 'kamen': 0};{'jidlo': 2}
Lučištník_vs_Bojovník;boj_rych_+1;rovina;lucisnik;6;8;3;5;5;1.2;0.05;10;{'jidlo': 15, 'drevo': 15, 'kamen': 0};{'jidlo': 2, 'drevo': 1}
Lučištník_vs_Bojovník;boj_rych_+1;rovina;bojovnik;5;8;3;6;1;1.2;0.05;12;{'jidlo': 10, 'drevo': 2, 'kamen': 0};{'jidlo': 2}
Lučištník_vs_Bojovník;boj_rych_+1;hora;lucisnik;6;8;3;5;5;1.2;0.05;10;{'jidlo': 15, 'drevo': 15, 'kamen': 0};{'jidlo': 2, 'drevo': 1}
Lučištník_vs_Bojovník;boj_rych_+1;hora;bojovnik;5;8;3;6;1;1.2;0.05;12;{'jidlo': 10, 'drevo': 2, 'kamen': 0};{'jidlo': 2}
Lučištník_vs_Bojovník;boj_minAtk_+1;rovina;lucisnik;6;8;3;5;5;1.2;0.05;10;{'jidlo': 15, 'drevo': 15, 'kamen': 0};{'jidlo': 2, 'drevo': 1}
Lučištník_vs_Bojovník;boj_minAtk_+1;rovina;bojovnik;6;8;3;5;1;1.2;0.05;12;{'jidlo': 10, 'drevo': 2, 'kamen': 0};{'jidlo': 2}
Lučištník_vs_Bojovník;boj_minAtk_+1;hora;lucisnik;6;8;3;5;5;1.2;0.05;10;{'jidlo': 15, 'drevo': 15, 'kamen': 0};{'jidlo': 2, 'drevo': 1}
Lučištník_vs_Bojovník;boj_minAtk_+1;hora;bojovnik;6;8;3;5;1;1.2;0.05;12;{'jidlo': 10, 'drevo': 2, 'kamen': 0};{'jidlo': 2}
Lučištník_vs_Bojovník;boj_uhyb_0.1;rovina;lucisnik;6;8;3;5;5;1.2;0.05;10;{'jidlo': 15, 'drevo': 15, 'kamen': 0};{'jidlo': 2, 'drevo': 1}
Lučištník_vs_Bojovník;boj_uhyb_0.1;rovina;bojovnik;5;8;3;5;1;1.2;0.1;12;{'jidlo': 10, 'drevo': 2, 'kamen': 0};{'jidlo': 2}
Lučištník_vs_Bojovník;boj_uhyb_0.1;hora;lucisnik;6;8;3;5;5;1.2;0.05;10;{'jidlo': 15, 'drevo': 15, 'kamen': 0};{'jidlo': 2, 'drevo': 1}
Lučištník_vs_Bojovník;boj_uhyb_0.1;hora;bojovnik;5;8;3;5;1;1.2;0.1;12;{'jidlo': 10, 'drevo': 2, 'kamen': 0};{'jidlo': 2}
Lučištník_vs_Bojovník;boj_atk_-1+1;rovina;lucisnik;6;8;3;5;5;1.2;0.05;10;{'jidlo': 15, 'drevo': 15, 'kamen': 0};{'jidlo': 2, 'drevo': 1}
Lučištník_vs_Bojovník;boj_atk_-1+1;rovina;bojovnik;4;9;3;5;1;1.2;0.05;12;{'jidlo': 10, 'drevo': 2, 'kamen': 0};{'jidlo': 2}
Lučištník_vs_Bojovník;boj_atk_-1+1;hora;lucisnik;6;8;3;5;5;1.2;0.05;10;{'jidlo': 15, 'drevo': 15, 'kamen': 0};{'jidlo': 2, 'drevo': 1}
Lučištník_vs_Bojovník;boj_atk_-1+1;hora;bojovnik;4;9;3;5;1;1.2;0.05;12;{'jidlo': 10, 'drevo': 2, 'kamen': 0};{'jidlo': 2}
Lučištník_vs_Bojovník;boj_def_+1;rovina;lucisnik;6;8;3;5;5;1.2;0.05;10;{'jidlo': 15, 'drevo': 15, 'kamen': 0};{'jidlo': 2, 'drevo': 1}
Lučištník_vs_Bojovník;boj_def_+1;rovina;bojovnik;5;8;4;5;1;1.2;0.05;12;{'jidlo': 10, 'drevo': 2, 'kamen': 0};{'jidlo': 2}
Lučištník_vs_Bojovník;boj_def_+1;hora;lucisnik;6;8;3;5;5;1.2;0.05;10;{'jidlo': 15, 'drevo': 15, 'kamen': 0};{'jidlo': 2, 'drevo': 1}
Lučištník_vs_Bojovník;boj_def_+1;hora;bojovnik;5;8;4;5;1;1.2;0.05;12;{'jidlo': 10, 'drevo': 2, 'kamen': 0};{'jidlo': 2}
Lučištník_vs_Bojovník;boj_hp_+3;rovina;lucisnik;6;8;3;5;5;1.2;0.05;10;{'jidlo': 15, 'drevo': 15, 'kamen': 0};{'jidlo': 2, 'drevo': 1}
Lučištník_vs_Bojovník;boj_hp_+3;rovina;bojovnik;5;8;3;5;1;1.2;0.05;15;{'jidlo': 10, 'drevo': 2, 'kamen': 0};{'jidlo': 2}
Lučištník_vs_Bojovník;boj_hp_+3;hora;lucisnik;6;8;3;5;5;1.2;0.05;10;{'jidlo': 15, 'drevo': 15, 'kamen': 0};{'jidlo': 2, 'drevo': 1}
Lučištník_vs_Bojovník;boj_hp_+3;hora;bojovnik;5;8;3;5;1;1.2;0.05;15;{'jidlo': 10, 'drevo': 2, 'kamen': 0};{'jidlo': 2}
Válečník_vs_Bojovník;zaklad;rovina;valecnik;6;8;4;6;1;1.2;0.05;15;{'jidlo': 60, 'drevo': 30, 'kamen': 0};{'jidlo': 3}
Válečník_vs_Bojovník;zaklad;rovina;bojovnik;5;8;3;5;1;1.2;0.05;12;{'jidlo': 10, 'drevo': 2, 'kamen': 0};{'jidlo': 2}
Válečník_vs_Bojovník;zaklad;hora;valecnik;6;8;4;6;1;1.2;0.05;15;{'jidlo': 60, 'drevo': 30, 'kamen': 0};{'jidlo': 3}
Válečník_vs_Bojovník;zaklad;hora;bojovnik;5;8;3;5;1;1.2;0.05;12;{'jidlo': 10, 'drevo': 2, 'kamen': 0};{'jidlo': 2}
Válečník_vs_Bojovník;boj_rych_+1;rovina;valecnik;6;8;4;6;1;1.2;0.05;15;{'jidlo': 60, 'drevo': 30, 'kamen': 0};{'jidlo': 3}
Válečník_vs_Bojovník;boj_rych_+1;rovina;bojovnik;5;8;3;6;1;1.2;0.05;12;{'jidlo': 10, 'drevo': 2, 'kamen': 0};{'jidlo': 2}
Válečník_vs_Bojovník;boj_rych_+1;hora;valecnik;6;8;4;6;1;1.2;0.05;15;{'jidlo': 60, 'drevo': 30, 'kamen': 0};{'jidlo': 3}
Válečník_vs_Bojovník;boj_rych_+1;hora;bojovnik;5;8;3;6;1;1.2;0.05;12;{'jidlo': 10, 'drevo': 2, 'kamen': 0};{'jidlo': 2}
Válečník_vs_Bojovník;boj_minAtk_+1;rovina;valecnik;6;8;4;6;1;1.2;0.05;15;{'jidlo': 60, 'drevo': 30, 'kamen': 0};{'jidlo': 3}
Válečník_vs_Bojovník;boj_minAtk_+1;rovina;bojovnik;6;8;3;5;1;1.2;0.05;12;{'jidlo': 10, 'drevo': 2, 'kamen': 0};{'jidlo': 2}
Válečník_vs_Bojovník;boj_minAtk_+1;hora;valecnik;6;8;4;6;1;1.2;0.05;15;{'jidlo': 60, 'drevo': 30, 'kamen': 0};{'jidlo': 3}
Válečník_vs_Bojovník;boj_minAtk_+1;hora;bojovnik;6;8;3;5;1;1.2;0.05;12;{'jidlo': 10, 'drevo': 2, 'kamen': 0};{'jidlo': 2}
Válečník_vs_Bojovník;boj_uhyb_0.1;rovina;valecnik;6;8;4;6;1;1.2;0.05;15;{'jidlo': 60, 'drevo': 30, 'kamen': 0};{'jidlo': 3}
Válečník_vs_Bojovník;boj_uhyb_0.1;rovina;bojovnik;5;8;3;5;1;1.2;0.1;12;{'jidlo': 10, 'drevo': 2, 'kamen': 0};{'jidlo': 2}
Válečník_vs_Bojovník;boj_uhyb_0.1;hora;valecnik;6;8;4;6;1;1.2;0.05;15;{'jidlo': 60, 'drevo': 30, 'kamen': 0};{'jidlo': 3}
Válečník_vs_Bojovník;boj_uhyb_0.1;hora;bojovnik;5;8;3;5;1;1.2;0.1;12;{'jidlo': 10, 'drevo': 2, 'kamen': 0};{'jidlo': 2}
Válečník_vs_Bojovník;boj_atk_-1+1;rovina;valecnik;6;8;4;6;1;1.2;0.05;15;{'jidlo': 60, 'drevo': 30, 'kamen': 0};{'jidlo': 3}
Válečník_vs_Bojovník;boj_atk_-1+1;rovina;bojovnik;4;9;3;5;1;1.2;0.05;12;{'jidlo': 10, 'drevo': 2, 'kamen': 0};{'jidlo': 2}
Válečník_vs_Bojovník;boj_atk_-1+1;hora;valecnik;6;8;4;6;1;1.2;0.05;15;{'jidlo': 60, 'drevo': 30, 'kamen': 0};{'jidlo': 3}
Válečník_vs_Bojovník;boj_atk_-1+1;hora;bojovnik;4;9;3;5;1;1.2;0.05;12;{'jidlo': 10, 'drevo': 2, 'kamen': 0};{'jidlo': 2}
Válečník_vs_Bojovník;boj_def_+1;rovina;valecnik;6;8;4;6;1;1.2;0.05;15;{'jidlo': 60, 'drevo': 30, 'kamen': 0};{'jidlo': 3}
Válečník_vs_Bojovník;boj_def_+1;rovina;bojovnik;5;8;4;5;1;1.2;0.05;12;{'jidlo': 10, 'drevo': 2, 'kamen': 0};{'jidlo': 2}
Válečník_vs_Bojovník;boj_def_+1;hora;valecnik;6;8;4;6;1;1.2;0.05;15;{'jidlo': 60, 'drevo': 30, 'kamen': 0};{'jidlo': 3}
Válečník_vs_Bojovník;boj_def_+1;hora;bojovnik;5;8;4;5;1;1.2;0.05;12;{'jidlo': 10, 'drevo': 2, 'kamen': 0};{'jidlo': 2}
Válečník_vs_Bojovník;boj_hp_+3;rovina;valecnik;6;8;4;6;1;1.2;0.05;15;{'jidlo': 60, 'drevo': 30, 'kamen': 0};{'jidlo': 3}
