nazev,id_simulace,id_atribut_sada,scenar_nazev,cas_startu,vitez_simulace,pocet_kol,poznamka
Válečník_vs_Bojovník,1,zaklad,rovina,2025-07-05 22:37:29,Hráč 1,4,
Válečník_vs_Bojovník,2,zaklad,rovina,2025-07-05 22:37:29,Hráč 1,8,
Válečník_vs_Bojovník,3,zaklad,rovina,2025-07-05 22:37:29,Hráč 1,7,
Válečník_vs_Bojovník,4,zaklad,rovina,2025-07-05 22:37:29,Hráč 1,4,
Válečník_vs_Bojovník,5,zaklad,rovina,2025-07-05 22:37:29,Hráč 1,5,
Válečník_vs_Bojovník,6,zaklad,rovina,2025-07-05 22:37:29,Hráč 2,5,
Válečník_vs_Bojovník,7,zaklad,rovina,2025-07-05 22:37:29,Hráč 1,5,
Válečník_vs_Bojovník,8,zaklad,rovina,2025-07-05 22:37:29,Hráč 1,5,
Válečník_vs_Bojovník,9,zaklad,rovina,2025-07-05 22:37:29,Hráč 1,5,
Válečník_vs_Bojovník,10,zaklad,rovina,2025-07-05 22:37:29,Hráč 1,7,
Válečník_vs_Bojovník,11,zaklad,rovina,2025-07-05 22:37:29,Hráč 1,5,
Válečník_vs_Bojovník,12,zaklad,rovina,2025-07-05 22:37:29,Hráč 1,4,
Válečník_vs_Bojovník,13,zaklad,rovina,2025-07-05 22:37:29,Hráč 1,5,
Válečník_vs_Bojovník,14,zaklad,rovina,2025-07-05 22:37:29,Hráč 1,8,
Válečník_vs_Bojovník,15,zaklad,rovina,2025-07-05 22:37:29,Hráč 1,5,
Válečník_vs_Bojovník,16,zaklad,rovina,2025-07-05 22:37:29,Hráč 1,5,
Válečník_vs_Bojovník,17,zaklad,rovina,2025-07-05 22:37:29,Hráč 1,5,
Válečník_vs_Bojovník,18,zaklad,rovina,2025-07-05 22:37:29,Hráč 1,6,
Válečník_vs_Bojovník,19,zaklad,rovina,2025-07-05 22:37:29,Hráč 1,5,
Válečník_vs_Bojovník,20,zaklad,rovina,2025-07-05 22:37:29,Hráč 1,4,
Válečník_vs_Bojovník,21,zaklad,rovina,2025-07-05 22:37:29,Hráč 1,9,
Válečník_vs_Bojovník,22,zaklad,rovina,2025-07-05 22:37:29,Hráč 1,4,
Válečník_vs_Bojovník,23,zaklad,rovina,2025-07-05 22:37:29,Hráč 1,5,
Válečník_vs_Bojovník,24,zaklad,rovina,2025-07-05 22:37:29,Hráč 1,4,
Válečník_vs_Bojovník,25,zaklad,rovina,2025-07-05 22:37:29,Hráč 1,5,
Válečník_vs_Bojovník,26,zaklad,rovina,2025-07-05 22:37:29,Hráč 1,4,
Válečník_vs_Bojovník,27,zaklad,rovina,2025-07-05 22:37:29,Hráč 1,4,
Válečník_vs_Bojovník,28,zaklad,rovina,2025-07-05 22:37:29,Hráč 1,5,
Válečník_vs_Bojovník,29,zaklad,rovina,2025-07-05 22:37:29,Hráč 1,7,
Válečník_vs_Bojovník,30,zaklad,rovina,2025-07-05 22:37:29,Hráč 1,5,
Válečník_vs_Bojovník,31,zaklad,rovina,2025-07-05 22:37:29,Hráč 1,5,
Válečník_vs_Bojovník,32,zaklad,rovina,2025-07-05 22:37:29,Hráč 1,7,
Válečník_vs_Bojovník,33,zaklad,rovina,2025-07-05 22:37:29,Hráč 1,4,
Válečník_vs_Bojovník,34,zaklad,rovina,2025-07-05 22:37:29,Hráč 1,4,
Válečník_vs_Bojovník,35,zaklad,rovina,2025-07-05 22:37:29,Hráč 1,4,
Válečník_vs_Bojovník,36,zaklad,rovina,2025-07-05 22:37:29,Hráč 1,4,
Válečník_vs_Bojovník,37,zaklad,rovina,2025-07-05 22:37:29,Hráč 1,6,
Válečník_vs_Bojovník,38,zaklad,rovina,2025-07-05 22:37:29,Hráč 1,5,
Válečník_vs_Bojovník,39,zaklad,rovina,2025-07-05 22:37:29,Hráč 2,5,
Válečník_vs_Bojovník,40,zaklad,rovina,2025-07-05 22:37:29,Hráč 1,4,
Válečník_vs_Bojovník,41,zaklad,rovina,2025-07-05 22:37:29,Hráč 1,7,
Válečník_vs_Bojovník,42,zaklad,rovina,2025-07-05 22:37:29,Hráč 1,5,
Válečník_vs_Bojovník,43,zaklad,rovina,2025-07-05 22:37:29,Hráč 1,5,
Válečník_vs_Bojovník,44,zaklad,rovina,2025-07-05 22:37:29,Hráč 1,5,
Válečník_vs_Bojovník,45,zaklad,rovina,2025-07-05 22:37:29,Hráč 1,6,
Válečník_vs_Bojovník,46,zaklad,rovina,2025-07-05 22:37:29,Hráč 1,5,
Válečník_vs_Bojovník,47,zaklad,rovina,2025-07-05 22:37:29,Hráč 1,4,
Válečník_vs_Bojovník,48,zaklad,rovina,2025-07-05 22:37:29,Hráč 1,4,
Válečník_vs_Bojovník,49,zaklad,rovina,2025-07-05 22:37:29,Hráč 1,5,
Válečník_vs_Bojovník,50,zaklad,rovina,2025-07-05 22:37:29,Hráč 1,9,
Válečník_vs_Bojovník,51,zaklad,rovina,2025-07-05 22:37:29,Hráč 1,4,
Válečník_vs_Bojovník,52,zaklad,rovina,2025-07-05 22:37:29,Hráč 1,5,
Válečník_vs_Bojovník,53,zaklad,rovina,2025-07-05 22:37:29,Hráč 1,4,
Válečník_vs_Bojovník,54,zaklad,rovina,2025-07-05 22:37:29,Hráč 1,8,
Válečník_vs_Bojovník,55,zaklad,rovina,2025-07-05 22:37:29,Hráč 1,5,
Válečník_vs_Bojovník,56,zaklad,rovina,2025-07-05 22:37:29,Hráč 1,5,
Válečník_vs_Bojovník,57,zaklad,rovina,2025-07-05 22:37:29,Hráč 1,7,
Válečník_vs_Bojovník,58,zaklad,rovina,2025-07-05 22:37:29,Hráč 1,4,
Válečník_vs_Bojovník,59,zaklad,rovina,2025-07-05 22:37:29,Hráč 1,5,
Válečník_vs_Bojovník,60,zaklad,rovina,2025-07-05 22:37:29,Hráč 1,5,
