nazev;id_atribut_sada;scenar_nazev;Vítěz_Hráč2_%;Průměr_kol;Medián_kol;Min_kol;Max_kol;Směrodatná_odchylka_kol;Počet_simulací;Vítěz_Hráč1_%;Nerozhodně_%;Neznámý_%
Lučištník_vs_Bojovník;boj_atk_-1+1;hora;6.0;8.44;8.0;5;21;2.45;1000;94.0;0.0;0.0
Lučištník_vs_Bojovník;boj_atk_-1+1;rovina;8.8;5.32;5.0;4;12;1.14;1000;91.2;0.0;0.0
Lučištník_vs_Bojovník;boj_def_+1;hora;13.1;9.47;9.0;5;22;3.0;1000;86.9;0.0;0.0
Lučištník_vs_Bojovník;boj_def_+1;rovina;16.6;5.83;6.0;4;12;1.21;1000;83.4;0.0;0.0
Lučištník_vs_Bojovník;boj_hp_+3;hora;7.5;9.02;8.0;5;22;2.59;1000;92.5;0.0;0.0
Lučištník_vs_Bojovník;boj_hp_+3;rovina;13.1;5.69;6.0;4;12;1.19;1000;86.9;0.0;0.0
Lučištník_vs_Bojovník;boj_minAtk_+1;hora;6.1;8.45;8.0;5;21;2.45;1000;93.9;0.0;0.0
Lučištník_vs_Bojovník;boj_minAtk_+1;rovina;8.1;5.32;5.0;4;12;1.14;1000;91.9;0.0;0.0
Lučištník_vs_Bojovník;boj_rych_+1;hora;3.7;7.68;7.0;4;19;2.19;1000;96.3;0.0;0.0
Lučištník_vs_Bojovník;boj_rych_+1;rovina;5.0;5.02;5.0;4;11;1.06;1000;95.0;0.0;0.0
Lučištník_vs_Bojovník;boj_uhyb_0.1;hora;4.1;8.6;8.0;5;21;2.51;1000;95.9;0.0;0.0
Lučištník_vs_Bojovník;boj_uhyb_0.1;rovina;7.7;5.44;5.0;4;12;1.18;1000;92.3;0.0;0.0
Lučištník_vs_Bojovník;zaklad;hora;3.2;8.46;8.0;5;21;2.45;1000;96.8;0.0;0.0
Lučištník_vs_Bojovník;zaklad;rovina;5.0;5.34;5.0;4;12;1.16;1000;95.0;0.0;0.0
Válečník_vs_Bojovník;boj_atk_-1+1;hora;7.7;8.39;8.0;4;22;2.65;1000;92.3;0.0;0.0
Válečník_vs_Bojovník;boj_atk_-1+1;rovina;3.6;5.41;5.0;4;11;1.22;1000;96.4;0.0;0.0
Válečník_vs_Bojovník;boj_def_+1;hora;18.3;9.63;9.0;5;27;3.51;1000;81.7;0.0;0.0
Válečník_vs_Bojovník;boj_def_+1;rovina;9.3;5.97;6.0;4;12;1.27;1000;90.7;0.0;0.0
Válečník_vs_Bojovník;boj_hp_+3;hora;10.9;8.92;8.0;5;23;2.81;1000;89.1;0.0;0.0
Válečník_vs_Bojovník;boj_hp_+3;rovina;5.7;5.85;6.0;4;12;1.25;1000;94.3;0.0;0.0
Válečník_vs_Bojovník;boj_minAtk_+1;hora;10.1;8.37;8.0;4;22;2.65;1000;89.9;0.0;0.0
Válečník_vs_Bojovník;boj_minAtk_+1;rovina;3.6;5.41;5.0;4;11;1.21;1000;96.4;0.0;0.0
Válečník_vs_Bojovník;boj_rych_+1;hora;7.0;9.23;9.0;4;26;2.78;1000;93.0;0.0;0.0
Válečník_vs_Bojovník;boj_rych_+1;rovina;1.1;4.99;5.0;4;11;1.04;1000;98.9;0.0;0.0
Válečník_vs_Bojovník;boj_uhyb_0.1;hora;6.5;8.53;8.0;4;22;2.76;1000;93.5;0.0;0.0
Válečník_vs_Bojovník;boj_uhyb_0.1;rovina;2.8;5.53;5.0;4;12;1.25;1000;97.2;0.0;0.0
Válečník_vs_Bojovník;zaklad;hora;4.4;8.4;8.0;4;22;2.7;1000;95.6;0.0;0.0
Válečník_vs_Bojovník;zaklad;rovina;1.8;5.43;5.0;4;11;1.22;1000;98.2;0.0;0.0
