nazev;id_atribut_sada;scenar_nazev;typ;Průměrná_délka_života_kol;Medián_délka_života_kol;Min_délka_života_kol;Max_délka_života_kol;Směrodatná_odchylka_délky_života_kol;Počet_úmrtí;Zpusobene_poskozeni__mean;Zpusobene_poskozeni__median;Zpusobene_poskozeni__min;Zpusobene_poskozeni__max;Zpusobene_poskozeni__std;Prijate_poskozeni__mean;Prijate_poskozeni__median;Prijate_poskozeni__min;Prijate_poskozeni__max;Prijate_poskozeni__std;Utoky__mean;Utoky__median;Utoky__min;Utoky__max;Utoky__std;protiUtoky__mean;protiUtoky__median;protiUtoky__min;protiUtoky__max;protiUtoky__std;Kriticke_zasahy__mean;Kriticke_zasahy__median;Kriticke_zasahy__min;Kriticke_zasahy__max;Kriticke_zasahy__std;Uhyby__mean;Uhyby__median;Uhyby__min;Uhyby__max;Uhyby__std
Barbar_vs_Lovec;1.zaklad;hora;barbar;6.68;6.0;3.0;14.0;2.16;138.0;1.4;0.0;0;25;3.58;1.27;0.0;0;14;2.25;0.19;0.0;0;1;0.4;0.0;0.0;0;0;0.0;0.02;0.0;0;1;0.14;0.05;0.0;0;2;0.23
Barbar_vs_Lovec;1.zaklad;hora;lovec;7.02;6.0;4.0;15.0;2.35;53.0;1.62;0.0;0;20;2.56;0.81;0.0;0;10;2.3;0.39;0.0;0;1;0.49;0.16;0.0;0;1;0.37;0.05;0.0;0;2;0.22;0.05;0.0;0;1;0.21
Barbar_vs_Lovec;1.zaklad;rovina;barbar;3.74;4.0;3.0;6.0;0.81;96.0;2.41;0.0;0;25;4.62;1.86;0.0;0;14;2.99;0.29;0.0;0;1;0.46;0.0;0.0;0;0;0.0;0.03;0.0;0;1;0.18;0.06;0.0;0;2;0.24
Barbar_vs_Lovec;1.zaklad;rovina;lovec;4.27;4.0;3.0;6.0;0.7;15.0;2.55;0.0;0;18;3.43;1.44;0.0;0;10;3.12;0.39;0.0;0;1;0.49;0.25;0.0;0;1;0.43;0.06;0.0;0;2;0.24;0.07;0.0;0;1;0.25
Barbar_vs_Lovec;2.oslabeni;hora;barbar;7.35;7.0;4.0;14.0;2.03;198.0;0.78;0.0;0;25;2.79;1.33;0.0;0;14;2.09;0.11;0.0;0;1;0.32;0.0;0.0;0;0;0.0;0.01;0.0;0;1;0.11;0.06;0.0;0;2;0.24
Barbar_vs_Lovec;2.oslabeni;hora;lovec;7.66;8.0;5.0;11.0;1.49;35.0;1.73;0.0;0;18;2.48;0.59;0.0;0;10;2.02;0.45;0.0;0;1;0.5;0.12;0.0;0;1;0.33;0.05;0.0;0;2;0.22;0.04;0.0;0;1;0.2
Barbar_vs_Lovec;2.oslabeni;rovina;barbar;4.32;4.0;3.0;7.0;1.08;104.0;2.14;0.0;0;25;4.51;1.9;0.0;0;14;2.94;0.27;0.0;0;1;0.45;0.0;0.0;0;0;0.0;0.03;0.0;0;1;0.17;0.06;0.0;0;2;0.25
Barbar_vs_Lovec;2.oslabeni;rovina;lovec;5.1;5.0;4.0;7.0;0.99;10.0;2.64;0.0;0;18;3.44;1.32;0.0;0;10;3.02;0.41;0.0;0;1;0.49;0.26;0.0;0;1;0.44;0.06;0.0;0;2;0.24;0.09;0.0;0;1;0.29
Barbar_vs_Lovec;3.posileni_barbar_lovec;hora;barbar;7.46;7.5;4.0;16.0;2.4;24.0;0.79;0.0;0;22;2.74;1.32;0.0;0;14;2.09;0.11;0.0;0;1;0.32;0.0;0.0;0;0;0.0;0.01;0.0;0;1;0.11;0.06;0.0;0;2;0.24
Barbar_vs_Lovec;3.posileni_barbar_lovec;hora;lovec;9.0;9.0;8.0;10.0;1.41;2.0;1.71;0.0;0;18;2.46;0.57;0.0;0;9;1.96;0.45;0.0;0;1;0.5;0.12;0.0;0;1;0.33;0.05;0.0;0;2;0.22;0.04;0.0;0;1;0.2
Barbar_vs_Lovec;3.posileni_barbar_lovec;rovina;barbar;4.12;4.0;3.0;6.0;0.96;16.0;2.13;0.0;0;22;4.42;1.9;0.0;0;14;2.93;0.28;0.0;0;1;0.45;0.0;0.0;0;0;0.0;0.03;0.0;0;1;0.17;0.06;0.0;0;2;0.25
Barbar_vs_Lovec;3.posileni_barbar_lovec;rovina;lovec;;;;;;;2.64;0.0;0;20;3.42;1.33;0.0;0;9;2.99;0.41;0.0;0;1;0.49;0.26;0.0;0;1;0.44;0.06;0.0;0;2;0.24;0.09;0.0;0;1;0.29
Barbar_vs_Lovec;4.rytir_barbar;hora;barbar;7.07;7.0;4.0;11.0;1.83;15.0;0.8;0.0;0;28;2.83;1.29;0.0;0;12;2.05;0.12;0.0;0;1;0.32;0.0;0.0;0;0;0.0;0.01;0.0;0;1;0.1;0.06;0.0;0;2;0.24
